status,canvas_assignment_id,module_item_id,title,module,due_date,points_possible,custom_place_aid,myopenmath_course_id,myopenmath_assessment_id,myopenmath_assessment_url
lti_incomplete,3304356,10550942,Exercises 1.2: Introduction to Differential Equations,Module 1.0: Differential Equations (1.2-1.3; 2.1),2026-06-24T21:00:00Z,5.0,19436285,,,
ok,3304357,10550943,Exercises 1.3: Classification of Differential Equations,Module 1.0: Differential Equations (1.2-1.3; 2.1),2026-06-24T21:00:00Z,10.0,19436286,324539,22494214,https://www.myopenmath.com/assess2/?cid=324539&aid=22494214
ok,3304358,10550945,Exercises 2.1:  Integrals as Solutions,Module 1.0: Differential Equations (1.2-1.3; 2.1),2026-06-24T21:00:00Z,7.0,19436287,324539,22494215,https://www.myopenmath.com/assess2/?cid=324539&aid=22494215
ok,3304359,10550951,Exercises 2.2: Slope Fields,Module 2.0: First-Order Linear Equations (2.2-2.4),2026-06-24T21:00:00Z,7.0,19436288,324539,22494216,https://www.myopenmath.com/assess2/?cid=324539&aid=22494216
ok,3304360,10550953,Exercises 2.3: Separable Equations,Module 2.0: First-Order Linear Equations (2.2-2.4),2026-07-01T21:00:00Z,7.0,19436289,324539,22494217,https://www.myopenmath.com/assess2/?cid=324539&aid=22494217
ok,3304361,10550955,Exercises 2.4: Linear Equations and the Integrating Factor,Module 2.0: First-Order Linear Equations (2.2-2.4),2026-07-01T21:00:00Z,7.0,19436290,324539,22494218,https://www.myopenmath.com/assess2/?cid=324539&aid=22494218
ok,3304362,10550961,Exercises 2.5: Existence and Uniqueness of Solutions of Nonlinear Equations,Module 3.0:  Substitution Methods (2.5-2.7),2026-07-01T21:00:00Z,4.0,19436291,324539,22494219,https://www.myopenmath.com/assess2/?cid=324539&aid=22494219
ok,3304363,10550962,Exercises 2.6: Substitution,Module 3.0:  Substitution Methods (2.5-2.7),2026-07-01T21:00:00Z,5.0,19436292,324539,22494220,https://www.myopenmath.com/assess2/?cid=324539&aid=22494220
ok,3304364,10550963,Exercises 2.7: Autonomous Equations,Module 3.0:  Substitution Methods (2.5-2.7),2026-07-01T21:00:00Z,8.0,19436293,324539,22494221,https://www.myopenmath.com/assess2/?cid=324539&aid=22494221
ok,3304365,10550970,Exercises 2.8: Numerical Methods: Euler's Method,Module 4.0:  Higher Order Linear Equations (2.8-2.9; 4.1; 4.4) Copy,2026-07-01T21:00:00Z,8.0,19436294,324539,22494222,https://www.myopenmath.com/assess2/?cid=324539&aid=22494222
ok,3304366,10550971,Exercises 2.9: Exact Equations ,Module 4.0:  Higher Order Linear Equations (2.8-2.9; 4.1; 4.4) Copy,2026-07-01T21:00:00Z,7.0,19436295,324539,22494223,https://www.myopenmath.com/assess2/?cid=324539&aid=22494223
ok,3304367,10550973,Exercises 4.1: Second-Order Linear ODEs,Module 4.0:  Higher Order Linear Equations (2.8-2.9; 4.1; 4.4) Copy,2026-07-08T21:00:00Z,10.0,19436299,324539,22494227,https://www.myopenmath.com/assess2/?cid=324539&aid=22494227
ok,3304370,10550975,Exercises 4.4: Constant Coefficient Second-Order Linear ODEs,Module 4.0:  Higher Order Linear Equations (2.8-2.9; 4.1; 4.4) Copy,2026-07-08T21:00:00Z,12.0,19436300,324539,22494228,https://www.myopenmath.com/assess2/?cid=324539&aid=22494228
ok,3304408,10550978,Quiz #1 (1.2-2.9),Module 4.0:  Higher Order Linear Equations (2.8-2.9; 4.1; 4.4) Copy,2026-07-02T21:00:00Z,24.0,19436496,324539,22494340,https://www.myopenmath.com/assess2/?cid=324539&aid=22494340
ok,3304371,10550983,Exercises 4.5: Higher Order Linear ODEs,Module 5.0:  Nonhomogeneous Equations (4.5; 4.8; 4.2-4.3),2026-07-08T21:00:00Z,10.0,19436301,324539,22494229,https://www.myopenmath.com/assess2/?cid=324539&aid=22494229
ok,3304374,10550984,Exercises 4.8: Mechanical Vibrations,Module 5.0:  Nonhomogeneous Equations (4.5; 4.8; 4.2-4.3),2026-07-08T21:00:00Z,10.0,19436302,324539,22494230,https://www.myopenmath.com/assess2/?cid=324539&aid=22494230
ok,3304368,10550986,Exercises 4.2: Nonhomogeneous Equations - The Method of Undetermined Coefficients I ,Module 5.0:  Nonhomogeneous Equations (4.5; 4.8; 4.2-4.3),2026-07-08T21:00:00Z,9.0,19436303,324539,22494231,https://www.myopenmath.com/assess2/?cid=324539&aid=22494231
ok,3304369,10550987,Exercises 4.3: Nonhomogeneous Equations - The Method of Undetermined Coefficients II,Module 5.0:  Nonhomogeneous Equations (4.5; 4.8; 4.2-4.3),2026-07-08T21:00:00Z,6.0,19436304,324539,22494232,https://www.myopenmath.com/assess2/?cid=324539&aid=22494232
ok,3304372,10551001,Exercises 4.6: Reduction of Order,Module 6.0:  Laplace Transforms (4.6-4.7; 8.1-8.2),2026-07-08T21:00:00Z,10.0,19436307,324539,22494235,https://www.myopenmath.com/assess2/?cid=324539&aid=22494235
ok,3304373,10551002,Exercises 4.7: Nonhomogeneous Equations - Variation of Parameters,Module 6.0:  Laplace Transforms (4.6-4.7; 8.1-8.2),2026-07-08T21:00:00Z,19.0,19436305,324539,22494233,https://www.myopenmath.com/assess2/?cid=324539&aid=22494233
